x_m,y_m,w_tr_right_m,w_tr_left_m,ideal_speed,ideal_x,ideal_y
82.429611,906.841165,4.353,4.205,142.5725533919254,81.75574485223288,906.7104099917958
82.837563,911.877505,4.346,4.193,134.64779654081093,83.02136020453423,911.472865540231
83.248443,917.040323,4.338,4.18,122.92120895556832,84.5219411426795,916.3407842081025
83.954388,922.112628,4.161,4.319,112.81370137634968,86.68742137991201,920.0669759278629
85.673515,926.451744,4.026,4.819,107.4098727677164,89.96616672786212,923.8444546708592
88.974744,929.425537,4.101,4.609,105.22204244620993,92.0587133379187,926.127254985654
93.551119,930.674272,4.131,4.098,100.6971846439421,94.97213345035843,929.2575810246827
98.643056,930.454717,4.615,4.208,93.12990606294164,98.23912047139642,930.8999928973204
103.764977,929.484079,4.58,4.102,88.84040977814122,103.20465179907373,932.1598129116637
108.763165,928.627825,4.545,3.995,85.98921293268282,108.5922136413067,933.4598763395518
113.599154,928.591245,4.495,3.935,80.28094198690405,112.10218897184737,934.0344966054034
118.321793,929.940244,4.465,4.343,80.59351851851838,115.84627187647,935.168675927744
122.73869,932.890866,4.458,4.457,84.42231531796891,120.31427759337998,938.116375417908
126.073556,936.830946,4.392,4.425,85.77815610639055,122.49794058074967,939.7922560518405
127.802866,941.198722,4.755,4.338,82.97004820210735,125.64429124717141,943.3921845593387
128.208494,945.841672,4.822,3.908,79.54698558577896,126.29109795026916,946.5054902094666
127.68945,950.666788,4.735,3.994,76.00934869417152,127.286455509109,951.584327460284
126.64474,955.581065,4.444,4.146,74.21578569542272,127.73749927473038,955.1845802703766
125.44179,960.499164,4.283,4.296,73.47365289818114,127.60679343410774,962.1334861868186
124.202155,965.395426,4.296,4.435,74.23289129209167,127.45768595137648,965.3675422899191
122.93212,970.272167,4.288,4.437,83.43935692213314,126.73728704332461,971.5602065117228
121.63731,975.131868,4.279,4.44,89.4571796076231,125.8591094093773,975.6987748468517
120.32335,979.977006,4.271,4.443,95.53329215842044,124.61773922825085,981.0992630360363
118.995865,984.810062,4.263,4.445,101.35582663772544,123.13918171841772,987.0927055261343
117.66048,989.633514,4.255,4.448,106.3886959876542,122.04361088051047,990.9805855856367
116.32282,994.44984,4.247,4.451,116.10454658319831,120.98291725694754,994.8448801209988
114.988509,999.261521,4.239,4.453,128.17588540573206,119.60802724261262,1000.2269286585207
113.663172,1004.071035,4.231,4.456,137.98132281120598,118.0863592811382,1005.9095354026731
112.352435,1008.88086,4.223,4.459,141.8198494023748,117.03758408184865,1009.8205547159371
111.061923,1013.693476,4.215,4.461,149.60409724451645,115.5277921077512,1015.5576384767769
109.797259,1018.511361,4.206,4.464,154.80713580873058,114.56685745936656,1019.2670567499453
108.564069,1023.336995,4.198,4.467,160.32627804536347,113.5470950423932,1023.302166670149
107.367978,1028.172857,4.19,4.469,164.937002697366,112.26722725805726,1028.6889215647914
106.21461,1033.021425,4.189,4.476,168.7726516030417,110.90882000893052,1034.5258145961534
105.109591,1037.885179,4.193,4.485,172.60830050871743,109.55041275980376,1040.3627076275152
104.058546,1042.766597,4.196,4.494,174.5261249615553,108.87120913524038,1043.2811541431965
103.067064,1047.667779,4.2,4.503,181.69910778877235,107.7181305266873,1048.386332772337
102.140467,1052.587831,4.213,4.497,190.49392552233945,106.64036619895785,1053.5251891359617
101.283945,1057.524431,4.256,4.446,193.92839715089548,105.80161757323322,1057.922928868703
100.50269,1062.475251,4.3,4.394,196.4310656655335,104.85777026259731,1063.169126931843
99.801893,1067.437965,4.343,4.342,198.51114496135304,103.8662588365575,1068.8001158780444
99.186744,1072.410243,4.345,4.364,200.5902831350148,102.87990448368718,1074.4179171772935
98.662434,1077.389757,4.327,4.419,201.607823127786,102.50744027632044,1076.9181311036075
98.234154,1082.374178,4.309,4.474,204.7750914993713,101.92337158267256,1082.6616702065685
97.907094,1087.36118,4.291,4.529,207.95926023171785,101.41792036054952,1088.146194174026
97.685976,1092.348512,4.27,4.582,210.08203938661543,101.08095287913414,1091.8025434856645
97.567796,1097.335226,4.248,4.634,213.26620811896197,100.57550165701112,1097.2870674531223
97.543237,1102.321437,4.226,4.686,216.4390314041675,100.14395626324155,1102.443539987707
97.602796,1107.30729,4.204,4.738,219.61594206749112,99.97536475583124,1106.6979959033188
97.736969,1112.29293,4.182,4.79,223.8518229519226,99.75057607928416,1112.370603790801
97.936252,1117.278504,4.179,4.779,225.94642344708103,99.6382338606044,1116.3587100575146
98.191144,1122.264156,4.178,4.767,228.01227405574164,99.52606354537879,1121.6312501564335
98.49214,1127.250034,4.177,4.754,229.69557312889236,99.42941050263406,1127.4924164830827
98.829737,1132.236281,4.175,4.742,231.37887220204303,99.33275745988934,1133.3535828097317
99.194475,1137.223041,4.174,4.729,233.0422010096671,99.28656059024351,1137.901861176889
99.578841,1142.21029,4.173,4.716,234.69027818541616,99.27889795925883,1141.4474646509807
99.978026,1147.197772,4.171,4.704,237.1623939490397,99.26740401278181,1146.765869862118
100.387417,1152.185218,4.17,4.691,239.67547974413637,99.2938855827429,1151.764936499713
100.802406,1157.172355,4.168,4.679,243.18446542796207,99.47583573084157,1157.1972417671573
101.21838,1162.158912,4.167,4.666,245.60517398914817,99.63663430925226,1161.6096126315551
101.630728,1167.144618,4.166,4.653,247.53124563900124,99.88215508083368,1167.3447370950298
102.034841,1172.129202,4.164,4.641,248.8095405186028,100.05281118003451,1171.2982700598493
102.426108,1177.112392,4.163,4.628,250.72576813457744,100.3058904825159,1177.2275553307438
102.799925,1182.093918,4.161,4.616,252.62239922299696,100.57640161515477,1183.0745548407149
103.154372,1187.073728,4.16,4.603,253.8858506712386,100.78409793789635,1186.9413198136363
103.49399,1192.052295,4.159,4.59,255.31966099142969,101.2653334334291,1192.974218354359
103.824277,1197.030171,4.157,4.578,256.2558213085186,101.59340763510333,1197.0060956762286
104.150729,1202.007908,4.156,4.565,257.1892968980102,101.95305340608571,1201.221942864775
104.478846,1206.986058,4.154,4.553,258.7158586818757,102.59790975838544,1207.997377981334
104.814123,1211.965172,4.153,4.54,259.8565430925221,103.056349403858,1212.5300683899266
105.162058,1216.945802,4.152,4.527,260.99722750316846,103.51478904933055,1217.062758798519
105.528148,1221.9285,4.15,4.515,262.1379119138149,103.97322869480311,1221.5954492071114
105.917889,1226.913794,4.149,4.502,263.8924190261837,104.64120989718454,1227.5071931746315
106.336695,1231.901117,4.147,4.49,265.68486558123016,105.29546989421291,1232.341447597119
106.789863,1236.888364,4.146,4.477,267.47731213627657,105.94972989124128,1237.1757020196062
107.282683,1241.873312,4.145,4.464,268.6651622361281,106.52692885169535,1240.9386899031388
107.820445,1246.85374,4.152,4.518,270.43261397700974,107.67665912226485,1247.6706778343432
108.408438,1251.827426,4.168,4.641,271.6109151375975,108.44314596931119,1252.1586697884793
109.051951,1256.792148,4.169,4.692,272.48538665439264,109.29807290649948,1256.7879759542595
109.756275,1261.745684,4.149,4.652,273.21006968427906,110.1966009456707,1261.4869502461531
110.526698,1266.685812,4.13,4.611,273.9347527141655,111.09512898484189,1266.185924538047
111.36851,1271.610311,4.111,4.571,275.01712318430543,112.36542009969375,1272.1906481316253
112.287,1276.516959,4.091,4.53,275.7368062629696,113.18068756290809,1275.768317189252
113.287459,1281.403534,4.072,4.489,276.81633088096584,114.40358875772962,1281.134820775693
114.375175,1286.267813,4.131,4.446,278.20033482142844,115.67350588671705,1285.8020767938044
115.555438,1291.107577,4.2,4.402,279.64676339285705,116.95306226580544,1290.3259724317986
116.833538,1295.920602,4.269,4.358,280.7237973322587,118.46951478126594,1295.312231408489
118.214763,1300.704666,4.281,4.4,281.6767777527927,120.24607653739902,1300.761569331526
119.704404,1305.457549,4.271,4.476,282.3099605009057,121.51405452838273,1304.537326015789
121.30775,1310.177027,4.261,4.553,283.25973462307513,123.41602151485826,1310.2009610421826
123.029936,1314.860917,4.25,4.629,283.88857398933607,124.76977458583936,1313.9338386545214
124.868634,1319.508813,4.245,4.644,285.3753038535136,126.96546812739733,1319.5258775395057
126.810907,1324.122838,4.243,4.601,286.41517654926565,128.44179725244132,1323.2543670806062
128.843008,1328.705312,4.242,4.558,287.4521657950683,130.10128725978439,1327.2117794964747
