Distance,X,Y,Speed
600.0,-861.6965736761351,5243.760310849221,347.0153325123153
602.0,-859.9747473880346,5263.682998626963,347.089224137931
604.0,-858.2529210999342,5283.605686404706,347.1631157635468
606.0,-856.5310948118337,5303.528374182448,347.23700738916256
608.0,-854.8092685237332,5323.451061960191,347.31089901477833
610.0,-853.0874422356327,5343.373749737933,347.3847906403941
612.0,-851.3656159475322,5363.296437515675,347.4586822660099
614.0,-849.6437896594317,5383.219125293418,347.5325738916256
616.0,-847.9219633713312,5403.14181307116,347.60646551724136
618.0,-846.2001370832307,5423.064500848903,347.68035714285713
620.0,-844.4783107951303,5442.987188626646,347.7542487684729
622.0,-842.7564845070298,5462.909876404387,347.8281403940887
624.0,-841.0346582189293,5482.83256418213,347.90203201970445
626.0,-839.3128319308288,5502.755251959872,347.9759236453202
628.0,-837.5928005939516,5522.795904115682,347.94176221734085
630.0,-835.8949860616698,5542.792386384777,347.8552995408451
632.0,-834.1971715293881,5562.788868653874,347.76883686434945
634.0,-832.4993569971064,5582.78535092297,347.6823741878537
636.0,-830.8015424648246,5602.781833192065,347.595911511358
638.0,-829.1037279325429,5622.778315461162,347.50944883486227
640.0,-827.4059134002612,5642.774797730257,347.4229861583666
642.0,-825.7080988679794,5662.771279999353,347.33652348187087
644.0,-824.0102843356977,5682.76776226845,347.25006080537514
646.0,-822.312469803416,5702.764244537545,347.1635981288794
648.0,-820.6146552711342,5722.760726806641,347.07713545238374
650.0,-818.9944393627105,5742.252713737987,347.0055532949686
652.0,-817.3613218612475,5762.309940979719,347.0572118528159
654.0,-815.7282043597843,5782.367168221451,347.1088704106632
656.0,-814.0950868583212,5802.424395463182,347.16052896851045
658.0,-812.4619693568582,5822.481622704914,347.21218752635775
660.0,-810.8288518553951,5842.538849946646,347.26384608420506
662.0,-809.1957343539319,5862.596077188377,347.31550464205236
664.0,-806.7600708761661,5891.319167205049,347.367081116539
666.0,-804.2151214237857,5921.222323270518,347.418646413398
668.0,-801.6701719714054,5951.125479335988,347.470211710257
670.0,-799.125222519025,5981.028635401456,347.521777007116
672.0,-796.5802730666446,6010.9317914669255,347.573342303975
674.0,-794.0353236142643,6040.834947532395,347.624907600834
676.0,-791.4903741618839,6070.738103597864,347.676472897693
678.0,-788.9454247095035,6100.641259663333,347.72803819455197
680.0,-786.4004752571232,6130.544415728802,347.77960349141097
682.0,-783.8555258047429,6160.447571794271,347.83116878826996
684.0,-781.3105763523625,6190.350727859741,347.88273408512896
686.0,-778.7656268999822,6220.253883925209,347.934299381988
688.0,-776.3553030724113,6248.486779692857,347.9858635368728
